Date,Stage,Match,Team,Players,Pick,Role Pick,Ban,Role Ban,Spell,Emblem,Talent 1,Talent 2,Talent 3,Time,MVP,K,D,A,Gold,Level,Win,Tower,Lord ,Turtle,"Buff 
Merah","Buff
 Biru"
3/15/2024,Regular Season,1,Minana EVOS,Domeng,Clint,Marksman,Joy,Assassin,Flicker,Assassin,Rupture,Weapons Master,Quantum Charge,22:03,0,5,0,8,18144,15,Win,6,0,1,11,8
3/15/2024,Regular Season,1,Minana EVOS,Kzen,Fredrinn,Fighter/Tank,Fanny,Assassin,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,22:03,0,0,6,6,11841,15,Win,6,0,1,11,8
3/15/2024,Regular Season,1,Minana EVOS,Lancecy,Novaria,Mage,Nolan,Assassin,Flicker,Assassin,Agility,Wilderness Blessing.,Impure Rage,22:03,0,3,3,9,13526,15,Win,6,0,1,11,8
3/15/2024,Regular Season,1,Minana EVOS,Kirk,Arlott,Fighter/Assassin,Cici,Fighter,Flicker,Common,Thrill,Wilderness Blessing.,Brave Smite,22:03,1,3,3,10,10453,15,Win,6,0,1,11,8
3/15/2024,Regular Season,1,Minana EVOS,SpiderMilez,Rafaela,Support,Paquito,Fighter/Assassin,Flicker,Support,Agility,Wilderness Blessing.,Impure Rage,22:03,0,4,1,11,10345,15,Win,6,0,1,11,8
3/15/2024,Regular Season,1,TNC Pro Team,Yasuwo,Karrie,Marksman,Diggie,Support,Flicker,Fighter,Swift,Festival of Blood,Brave Smite,22:03,0,7,2,0,17106,15,Lose,6,3,2,7,12
3/15/2024,Regular Season,1,TNC Pro Team,Raizen,Baxia,Tank,Harith,Mage,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,22:03,0,0,3,8,10671,15,Lose,6,3,2,7,12
3/15/2024,Regular Season,1,TNC Pro Team,Hatred,Gusion,Assassin,Angela,Support,Petrify,Mage,Rupture,Wilderness Blessing.,Lethal Ignition,22:03,0,5,4,6,10998,15,Lose,6,3,2,7,12
3/15/2024,Regular Season,1,TNC Pro Team,HEADS,Terizla,Fighter,Mathilda,Support/Assassin,Flicker,Fighter,Firmness,Festival of Blood,Brave Smite,22:03,0,1,2,8,11701,15,Lose,6,3,2,7,12
3/15/2024,Regular Season,1,TNC Pro Team,Nomed,Minotaur,Tank/Support,Claude,Marksman,Flicker,Tank,Vitality,Wilderness Blessing.,Concussive Blast,22:03,0,0,4,10,9851,15,Lose,6,3,2,7,12
3/15/2024,Regular Season,2,TNC Pro Team,Yasuwo,Bruno,Marksman,Harith,Mage,Flicker,Assassin,Vitality,Tenacity,Quantum Charge,15:58,0,3,0,0,10634,15,Lose,3,1,2,4,6
