Team,Line Posisition,Status,Player
 AP.Bren ,Exp ,Main,FlapTzy
 AP.Bren ,Jungler,Main,KyleTzy
 AP.Bren ,Middle,Main,Pheww
 AP.Bren ,Gold Lane,Main,Super Marco
 AP.Bren ,Roamer,Main,Owgwen
 AP.Bren ,Exp ,Substitute,Pandora
 AP.Bren ,Head Coach,Head Coach,Ducky
 AP.Bren ,Technical Coach,Technical Coach,Trebor
Blacklist Intl.,Exp ,Main,Edward
Blacklist Intl.,Jungler,Main,Sensui
Blacklist Intl.,Middle,Main,Yue
Blacklist Intl.,Gold Lane,Main,Oheb
Blacklist Intl.,Roamer,Main,Hadji
Blacklist Intl.,Roamer,Substitute,Kimpoy
Blacklist Intl.,Roamer,Substitute, ESON
Blacklist Intl.,Assistant Coach,Assistant Coach,Dex Star
Blacklist Intl.,Technical Coach,Technical Coach,Master the Basics
Blacklist Intl.,Head Coach,Head Coach,BON CHAN
Blacklist Intl.,Analisi,Analisi,Calad
ECHO,Exp ,Main,Sanford
ECHO,Jungler,Main,KarlTzy
ECHO,Middle,Main,Sanji
ECHO,Gold Lane,Main,Bennyqt
ECHO,Roamer,Main,Jaypee
ECHO,Exp ,Substitute,EJJJ
ECHO,Jungler,Substitute,Zaida
ECHO,Gold Lane,Substitute,Outplayed
ECHO,Head Coach,Head Coach,Tictac
Minana EVOS,Exp ,Main,Kirk
Minana EVOS,Jungler,Main,Kzen
Minana EVOS,Middle,Main,Lancecy
Minana EVOS,Gold Lane,Main,Domeng
Minana EVOS,Roamer,Main,SpiderMilez
Minana EVOS,Exp ,Substitute,Vane
Minana EVOS,Jungler,Substitute,Koyl
Minana EVOS,Middle,Substitute,YellyHaze
Minana EVOS,Gold Lane,Substitute,Sumpak
Minana EVOS,Roamer,Substitute,Perkz
Minana EVOS,Head Coach,Head Coach,Bitoy
Minana EVOS,Assistant Coach,Assistant Coach,Imbadeejay
Minana EVOS,Analisi,Analisi,Super Kurt
Omega Esports,Exp ,Main,Louis
Omega Esports,Jungler,Main,Matt
Omega Esports,Middle,Main,Rayl
Omega Esports,Gold Lane,Main,West
Omega Esports,Roamer,Main,Marked
Omega Esports,Exp ,Substitute,Ryota
Omega Esports,Jungler,Substitute,H2wo
Omega Esports,Middle,Substitute,Exort
Omega Esports,Gold Lane,Substitute,Jowm
Omega Esports,Roamer,Substitute,Ribo
Omega Esports,Head Coach,Head Coach,Stronger
Omega Esports,Assistant Coach,Assistant Coach,Lembot
Omega Esports,Analisi,Analisi,SN4P
ONIC Philippines,Exp ,Main,Jem
ONIC Philippines,Jungler,Main,K1NGKONG
ONIC Philippines,Middle,Main,Super Frince
ONIC Philippines,Gold Lane,Main,Kelra
ONIC Philippines,Roamer,Main,Escalera
ONIC Philippines,Gold Lane,Substitute,BOSS A
ONIC Philippines,Head Coach,Head Coach,YnoT
ONIC Philippines,Assistant Coach,Assistant Coach,E2MAX
ONIC Philippines,Analisi,Analisi,Bam
RSG Philippines,Exp ,Main,Nibor
RSG Philippines,Jungler,Main,Demonkite
RSG Philippines,Middle,Main,Aqua
RSG Philippines,Gold Lane,Main,Kousei
RSG Philippines,Roamer,Main,Light
RSG Philippines,Exp ,Substitute,Nathzz
RSG Philippines,Middle,Substitute,rTzy
RSG Philippines,Coach,Coach,Panda
RSG Philippines,Coach,Coach,Dalyot
TNC Pro Team,Exp ,Main,HEADS
TNC Pro Team,Jungler,Main,Raizen
TNC Pro Team,Middle,Main,Hatred
TNC Pro Team,Gold Lane,Main,Yasuwo
TNC Pro Team,Roamer,Main,Nomed
TNC Pro Team,Roamer,Substitute,Yoshinu
TNC Pro Team,Middle,Substitute,Goyo
TNC Pro Team,Head Coach,Head Coach,Benthings
